Options:
Model:                           MultiState
Tree File Name:                  ww_trees.nex
Data File Name:                  ww_gen_sys.txt
Log File Name:                   world_gender_system-RJHPoutput.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1436681863
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      10000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   world_gender_system-RJHPoutput.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          RJ MCMC
    q02                          RJ MCMC
    q03                          RJ MCMC
    q10                          RJ MCMC
    q12                          RJ MCMC
    q13                          RJ MCMC
    q20                          RJ MCMC
    q21                          RJ MCMC
    q23                          RJ MCMC
    q30                          RJ MCMC
    q31                          RJ MCMC
    q32                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - gamma 1.00 1.00 
Tree Information
     Trees:                      902
     Taxa:                       2847
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
1290000	-1207.143444	340	2	3	'Z 0 Z 1 Z 1 1 1 1 0 0 0 	0.000000	0.054669	0.000000	0.609467	0.000000	0.609467	0.609467	0.609467	0.609467	0.054669	0.054669	0.054669	0.249998	0.250000	0.250000	0.250001	
1300000	-1206.332039	407	2	3	'Z 1 Z 0 Z 0 0 0 0 1 1 1 	0.000000	0.050100	0.000000	0.455771	0.000000	0.455771	0.455771	0.455771	0.455771	0.050100	0.050100	0.050100	0.249996	0.250000	0.250000	0.250004	
1310000	-1209.492412	854	2	2	'Z 0 Z 1 1 0 1 1 1 0 0 0 	0.000000	0.051624	0.000000	0.617637	0.617637	0.051624	0.617637	0.617637	0.617637	0.051624	0.051624	0.051624	0.249978	0.249992	0.250001	0.250030	
1320000	-1203.190822	188	3	2	'Z 2 Z 2 1 2 1 1 1 0 0 2 	0.000000	0.045871	0.000000	0.045871	1.377099	0.045871	1.377099	1.377099	1.377099	0.074369	0.074369	0.045871	0.249856	0.250014	0.250003	0.250127	
1330000	-1203.902455	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.055948	0.000000	0.055948	1.232934	0.000000	1.232934	1.232934	1.232934	0.055948	0.055948	0.055948	0.249999	0.250000	0.250000	0.250001	
1340000	-1206.900089	407	2	4	'Z 0 Z Z 1 Z 1 1 1 0 0 0 	0.000000	0.048582	0.000000	0.000000	1.529455	0.000000	1.529455	1.529455	1.529455	0.048582	0.048582	0.048582	0.249993	0.250000	0.250000	0.250006	
1350000	-1207.483372	188	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.049740	0.000000	0.000000	1.164941	0.000000	1.164941	1.164941	1.164941	0.049740	0.049740	0.049740	0.249546	0.250038	0.250007	0.250409	
1360000	-1204.847180	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.059298	0.000000	0.059298	1.320326	0.000000	1.320326	1.320326	1.320326	0.059298	0.059298	0.059298	0.250000	0.250000	0.250000	0.250000	
1370000	-1207.720527	188	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.063398	0.000000	0.000000	1.369907	0.000000	1.369907	1.369907	1.369907	0.063398	0.063398	0.063398	0.249956	0.250004	0.250001	0.250039	
1380000	-1207.422366	188	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.052702	0.000000	0.000000	1.456563	0.052702	1.456563	1.456563	1.456563	0.052702	0.052702	0.052702	0.249729	0.250027	0.250003	0.250241	
1390000	-1206.179141	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.051858	0.000000	0.051858	1.128553	0.000000	1.128553	1.128553	1.128553	0.051858	0.051858	0.051858	0.249686	0.250013	0.250005	0.250296	
