Default schedule
Rate	71.43
CV	0.00
Kappa	0.00
Delta	0.00
Labda	0.00
Rev Jump	14.29
Prior Change	0.00
Est Data	0.00
Solo Tree Move	0.00
RJ Local Transform Add / Remove	0.00
Local Transform Move	0.00
Local Transform Change Scale	0.00
Local Transform Hyper Prior	0.00
Change Hetero	0.00
Tree Move	14.29
OU	0.00
Gamma	0.00
RJ Dummy Add / Remove	0.00
RJ Dummy Move Node	0.00
RJ Dummy Change Beta	0.00
Fat Tail Ans All	0.00
Fat Tail Ans	0.00
Geo Move All	0.00
Local Rates	0.00
Data Dist	0.00
Time Slice - Time	0.00
Time Slice - Scale	0.00
Global Rate	0.00
GlobalTrend-Change	0.00
Fabric Homo	0.00
Site Power	0.00
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
728	0.315934	141	0.028369	131	0.000000	0.493992	728	0.315934	0.234000	0.226908	
717	0.327755	147	0.027211	136	0.000000	0.493992	717	0.327755	0.239000	0.226924	
723	0.325035	133	0.015038	144	0.006944	0.493992	723	0.325035	0.238000	0.226967	
705	0.329078	141	0.021277	154	0.000000	0.493992	705	0.329078	0.235000	0.226997	
706	0.303116	139	0.035971	155	0.000000	0.493992	706	0.303116	0.219000	0.227012	
713	0.253857	147	0.047619	140	0.000000	0.493992	713	0.253857	0.188000	0.227000	
739	0.326116	134	0.029851	127	0.015748	0.493992	739	0.326116	0.247000	0.227020	
727	0.292985	144	0.006944	129	0.000000	0.493992	727	0.292985	0.214000	0.227016	
705	0.331915	150	0.046667	145	0.000000	0.493992	705	0.331915	0.241000	0.227004	
705	0.300709	147	0.000000	148	0.000000	0.493992	705	0.300709	0.212000	0.227029	
698	0.283668	145	0.055172	157	0.000000	0.493992	698	0.283668	0.206000	0.227039	
723	0.307054	144	0.048611	133	0.000000	0.493992	723	0.307054	0.229000	0.227039	
725	0.264828	132	0.053030	143	0.000000	0.493992	725	0.264828	0.199000	0.227039	
728	0.295330	141	0.049645	131	0.000000	0.493992	728	0.295330	0.222000	0.227040	
703	0.291607	146	0.034247	151	0.006623	0.493992	703	0.291607	0.211000	0.227031	
692	0.343931	168	0.023810	140	0.000000	0.493992	692	0.343931	0.242000	0.227067	
712	0.310393	142	0.049296	146	0.000000	0.493992	712	0.310393	0.228000	0.227107	
715	0.299301	134	0.000000	151	0.000000	0.493992	715	0.299301	0.214000	0.227125	
693	0.330447	138	0.021739	169	0.005917	0.493992	693	0.330447	0.233000	0.227123	
722	0.343490	156	0.032051	122	0.000000	0.493992	722	0.343490	0.253000	0.227127	
718	0.316156	143	0.013986	139	0.000000	0.493992	718	0.316156	0.229000	0.227142	
715	0.339860	136	0.029412	149	0.000000	0.493992	715	0.339860	0.247000	0.227172	
719	0.317107	142	0.014085	139	0.007194	0.493992	719	0.317107	0.231000	0.227215	
694	0.338617	150	0.026667	156	0.000000	0.493992	694	0.338617	0.239000	0.227215	
702	0.321937	145	0.020690	153	0.006536	0.493992	702	0.321937	0.230000	0.227217	
740	0.328378	125	0.008000	135	0.000000	0.493992	740	0.328378	0.244000	0.227261	
726	0.338843	139	0.007194	135	0.000000	0.493992	726	0.338843	0.247000	0.227309	
691	0.315485	155	0.032258	154	0.000000	0.493992	691	0.315485	0.223000	0.227308	
715	0.304895	137	0.007299	148	0.000000	0.493992	715	0.304895	0.219000	0.227319	
699	0.331903	158	0.031646	143	0.000000	0.493992	699	0.331903	0.237000	0.227374	
726	0.278237	144	0.055556	130	0.000000	0.493992	726	0.278237	0.210000	0.227377	
743	0.333782	132	0.007576	125	0.008000	0.493992	743	0.333782	0.250000	0.227388	
715	0.317483	139	0.050360	146	0.000000	0.493992	715	0.317483	0.234000	0.227416	
697	0.329986	146	0.027397	157	0.000000	0.493992	697	0.329986	0.234000	0.227419	
710	0.343662	152	0.026316	138	0.000000	0.493992	710	0.343662	0.248000	0.227431	
708	0.286723	116	0.000000	176	0.000000	0.493992	708	0.286723	0.203000	0.227427	
734	0.288828	118	0.076271	148	0.000000	0.493992	734	0.288828	0.221000	0.227439	
700	0.325714	149	0.040268	151	0.000000	0.493992	700	0.325714	0.234000	0.227456	
696	0.330460	160	0.018750	144	0.000000	0.493992	696	0.330460	0.233000	0.227469	
715	0.327273	133	0.030075	152	0.000000	0.493992	715	0.327273	0.238000	0.227496	
727	0.324622	136	0.029412	137	0.000000	0.493992	727	0.324622	0.240000	0.227505	
705	0.356028	147	0.040816	148	0.000000	0.493992	705	0.356028	0.257000	0.227532	
723	0.354080	139	0.000000	138	0.000000	0.493992	723	0.354080	0.256000	0.227551	
716	0.310056	140	0.042857	144	0.006944	0.493992	716	0.310056	0.229000	0.227584	
701	0.309558	153	0.032680	146	0.006849	0.493992	701	0.309558	0.223000	0.227582	
732	0.340164	143	0.027972	125	0.000000	0.493992	732	0.340164	0.253000	0.227592	
721	0.353675	140	0.028571	139	0.000000	0.493992	721	0.353675	0.259000	0.227623	
699	0.313305	159	0.056604	142	0.000000	0.493992	699	0.313305	0.228000	0.227630	
711	0.333333	147	0.027211	142	0.000000	0.493992	711	0.333333	0.241000	0.227612	
736	0.302989	125	0.040000	139	0.007194	0.493992	736	0.302989	0.229000	0.227647	
719	0.308762	146	0.047945	135	0.000000	0.493992	719	0.308762	0.229000	0.227661	
698	0.340974	171	0.029240	131	0.000000	0.493992	698	0.340974	0.243000	0.227685	
718	0.367688	143	0.055944	139	0.007194	0.493992	718	0.367688	0.273000	0.227730	
719	0.300417	140	0.014286	141	0.007092	0.493992	719	0.300417	0.219000	0.227721	
714	0.317927	149	0.026846	137	0.000000	0.493992	714	0.317927	0.231000	0.227728	
714	0.320728	126	0.015873	160	0.000000	0.493992	714	0.320728	0.231000	0.227727	
729	0.296296	128	0.046875	143	0.000000	0.493992	729	0.296296	0.222000	0.227730	
723	0.304288	138	0.007246	139	0.000000	0.493992	723	0.304288	0.221000	0.227755	
690	0.321739	151	0.052980	159	0.006289	0.493992	690	0.321739	0.231000	0.227755	
723	0.326418	158	0.050633	119	0.000000	0.493992	723	0.326418	0.244000	0.227781	
700	0.334286	145	0.013793	155	0.000000	0.493992	700	0.334286	0.236000	0.227801	
735	0.288435	132	0.045455	133	0.000000	0.493992	735	0.288435	0.218000	0.227829	
705	0.307801	139	0.014388	156	0.000000	0.493992	705	0.307801	0.219000	0.227827	
721	0.321775	135	0.037037	144	0.000000	0.493992	721	0.321775	0.237000	0.227831	
716	0.342179	132	0.015152	152	0.000000	0.493992	716	0.342179	0.247000	0.227810	
701	0.302425	147	0.040816	152	0.000000	0.493992	701	0.302425	0.218000	0.227830	
709	0.296192	154	0.071429	137	0.000000	0.493992	709	0.296192	0.221000	0.227832	
709	0.315938	143	0.020979	148	0.000000	0.493992	709	0.315938	0.227000	0.227845	
711	0.300985	137	0.051095	152	0.000000	0.493992	711	0.300985	0.221000	0.227822	
718	0.318942	151	0.013245	131	0.000000	0.493992	718	0.318942	0.231000	0.227807	
709	0.355430	142	0.007042	149	0.000000	0.493992	709	0.355430	0.253000	0.227808	
736	0.328804	120	0.041667	144	0.000000	0.493992	736	0.328804	0.247000	0.227831	
715	0.304895	132	0.030303	153	0.000000	0.493992	715	0.304895	0.222000	0.227855	
732	0.331967	120	0.016667	148	0.000000	0.493992	732	0.331967	0.245000	0.227877	
706	0.303116	143	0.006993	151	0.000000	0.493992	706	0.303116	0.215000	0.227822	
674	0.338279	177	0.016949	149	0.000000	0.493992	674	0.338279	0.231000	0.227816	
691	0.325615	156	0.032051	153	0.000000	0.493992	691	0.325615	0.230000	0.227816	
716	0.284916	135	0.044444	149	0.000000	0.493992	716	0.284916	0.210000	0.227799	
706	0.300283	156	0.025641	138	0.007246	0.493992	706	0.300283	0.217000	0.227780	
693	0.317460	161	0.031056	146	0.000000	0.493992	693	0.317460	0.225000	0.227786	
709	0.332863	148	0.040541	143	0.000000	0.493992	709	0.332863	0.242000	0.227822	
732	0.337432	134	0.029851	134	0.000000	0.493992	732	0.337432	0.251000	0.227865	
717	0.347280	139	0.028777	144	0.000000	0.493992	717	0.347280	0.253000	0.227896	
720	0.336111	142	0.028169	138	0.007246	0.493992	720	0.336111	0.247000	0.227907	
737	0.305292	135	0.029630	128	0.000000	0.493992	737	0.305292	0.229000	0.227896	
717	0.330544	132	0.015152	151	0.000000	0.493992	717	0.330544	0.239000	0.227903	
724	0.349448	130	0.030769	146	0.000000	0.493992	724	0.349448	0.257000	0.227936	
700	0.361429	153	0.026144	147	0.000000	0.493992	700	0.361429	0.257000	0.227959	
713	0.297335	141	0.007092	146	0.000000	0.493992	713	0.297335	0.213000	0.227964	
686	0.275510	143	0.034965	171	0.000000	0.493992	686	0.275510	0.194000	0.227965	
710	0.308451	152	0.026316	138	0.000000	0.493992	710	0.308451	0.223000	0.227970	
697	0.325681	137	0.014599	166	0.006024	0.493992	697	0.325681	0.230000	0.227973	
708	0.274011	150	0.040000	142	0.000000	0.493992	708	0.274011	0.200000	0.227984	
703	0.334282	148	0.020270	149	0.000000	0.493992	703	0.334282	0.238000	0.227977	
