Default schedule
Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
721	0.264910	122	0.040984	157	0.000000	0.523429	721	0.264910	0.196000	0.202210	
743	0.255720	124	0.008065	133	0.000000	0.523429	743	0.255720	0.191000	0.202175	
724	0.255525	125	0.032000	151	0.006623	0.523429	724	0.255525	0.190000	0.202166	
719	0.279555	135	0.037037	146	0.006849	0.523429	719	0.279555	0.207000	0.202113	
713	0.301543	129	0.015504	158	0.000000	0.523429	713	0.301543	0.217000	0.202148	
742	0.247978	121	0.041322	137	0.000000	0.523429	742	0.247978	0.189000	0.202122	
732	0.270492	121	0.016529	147	0.000000	0.523429	732	0.270492	0.200000	0.202143	
709	0.286319	153	0.006536	138	0.000000	0.523429	709	0.286319	0.204000	0.202161	
734	0.307902	126	0.047619	140	0.000000	0.523429	734	0.307902	0.232000	0.202167	
705	0.249645	134	0.000000	161	0.000000	0.523429	705	0.249645	0.176000	0.202184	
703	0.298720	145	0.013793	152	0.000000	0.523429	703	0.298720	0.212000	0.202181	
681	0.258443	153	0.013072	166	0.000000	0.523429	681	0.258443	0.178000	0.202162	
709	0.308886	146	0.020548	145	0.000000	0.523429	709	0.308886	0.222000	0.202138	
736	0.270380	129	0.007752	135	0.000000	0.523429	736	0.270380	0.200000	0.202140	
724	0.294199	133	0.037594	143	0.000000	0.523429	724	0.294199	0.218000	0.202142	
702	0.280627	140	0.021429	158	0.000000	0.523429	702	0.280627	0.200000	0.202133	
716	0.289106	134	0.022388	150	0.006667	0.523429	716	0.289106	0.211000	0.202143	
732	0.251366	120	0.008333	148	0.000000	0.523429	732	0.251366	0.185000	0.202137	
705	0.275177	144	0.013889	151	0.000000	0.523429	705	0.275177	0.196000	0.202140	
734	0.287466	123	0.016260	143	0.006993	0.523429	734	0.287466	0.214000	0.202090	
731	0.285910	134	0.007463	135	0.000000	0.523429	731	0.285910	0.210000	0.202092	
759	0.252964	120	0.000000	121	0.000000	0.523429	759	0.252964	0.192000	0.202095	
716	0.286313	130	0.015385	154	0.000000	0.523429	716	0.286313	0.207000	0.202090	
711	0.309423	147	0.027211	142	0.007042	0.523429	711	0.309423	0.225000	0.202093	
721	0.274619	136	0.058824	143	0.006993	0.523429	721	0.274619	0.207000	0.202085	
695	0.300719	140	0.021429	165	0.000000	0.523429	695	0.300719	0.212000	0.202119	
694	0.275216	156	0.032051	150	0.000000	0.523429	694	0.275216	0.196000	0.202115	
699	0.240343	154	0.032468	147	0.000000	0.523429	699	0.240343	0.173000	0.202099	
726	0.268595	119	0.067227	155	0.000000	0.523429	726	0.268595	0.203000	0.202083	
728	0.292582	128	0.039062	144	0.006944	0.523429	728	0.292582	0.219000	0.202093	
769	0.253576	118	0.008475	113	0.000000	0.523429	769	0.253576	0.196000	0.202089	
701	0.272468	152	0.019737	147	0.000000	0.523429	701	0.272468	0.194000	0.202090	
742	0.272237	117	0.017094	141	0.000000	0.523429	742	0.272237	0.204000	0.202069	
694	0.299712	135	0.014815	171	0.005848	0.523429	694	0.299712	0.211000	0.202078	
703	0.266003	139	0.043165	158	0.000000	0.523429	703	0.266003	0.193000	0.202069	
699	0.248927	154	0.000000	147	0.000000	0.523429	699	0.248927	0.174000	0.202023	
730	0.231507	154	0.000000	116	0.000000	0.523429	730	0.231507	0.169000	0.202005	
750	0.273333	143	0.020979	107	0.000000	0.523429	750	0.273333	0.208000	0.202025	
692	0.281792	152	0.019737	156	0.000000	0.523429	692	0.281792	0.198000	0.202016	
708	0.293785	137	0.036496	155	0.000000	0.523429	708	0.293785	0.213000	0.202046	
